Fecha|Valor
1980-07-15 07:00:00|28.4
1980-07-16 07:00:00|27.6
1980-07-17 07:00:00|28.4
1980-07-18 07:00:00|28.8
1980-07-19 07:00:00|28.1
1980-07-20 07:00:00|29.2
1980-07-21 07:00:00|29.3
1980-07-22 07:00:00|28.0
1980-07-23 07:00:00|28.2
1980-07-24 07:00:00|28.1
1980-07-25 07:00:00|27.5
1980-07-26 07:00:00|28.0
1980-07-27 07:00:00|28.3
1980-07-28 07:00:00|28.4
1980-07-29 07:00:00|28.7
1980-07-30 07:00:00|28.4
1980-07-31 07:00:00|28.9
1980-08-01 07:00:00|27.0
1980-08-02 07:00:00|28.3
1980-08-03 07:00:00|28.6
1980-08-04 07:00:00|28.0
1980-08-05 07:00:00|27.5
1980-08-06 07:00:00|28.7
1980-08-07 07:00:00|25.4
1980-08-08 07:00:00|27.9
1980-08-09 07:00:00|26.2
1980-08-10 07:00:00|28.4
1980-08-11 07:00:00|28.7
1980-08-12 07:00:00|29.2
1980-08-13 07:00:00|28.2
1980-08-14 07:00:00|28.7
1980-08-15 07:00:00|28.7
1980-08-16 07:00:00|27.4
1980-08-17 07:00:00|27.9
1980-08-18 07:00:00|28.4
1980-08-19 07:00:00|27.4
1980-08-20 07:00:00|27.8
1980-08-21 07:00:00|26.1
1980-08-22 07:00:00|27.6
1980-08-23 07:00:00|28.6
1980-08-24 07:00:00|29.3
1980-08-25 07:00:00|29.1
1980-08-26 07:00:00|28.6
1980-08-27 07:00:00|28.6
1980-08-28 07:00:00|28.5
1980-08-29 07:00:00|27.7
1980-09-01 07:00:00|27.9
1980-09-02 07:00:00|27.3
1980-09-03 07:00:00|27.9
1980-09-04 07:00:00|28.5
1980-09-05 07:00:00|28.1
1980-09-06 07:00:00|29.2
1980-09-07 07:00:00|28.5
1980-09-08 07:00:00|28.8
1980-09-09 07:00:00|28.6
1980-09-10 07:00:00|29.6
1980-09-11 07:00:00|28.9
1980-09-12 07:00:00|29.2
1980-09-13 07:00:00|28.8
1980-09-14 07:00:00|28.9
1980-09-15 07:00:00|26.5
1980-09-16 07:00:00|26.7
1980-09-17 07:00:00|29.1
1980-09-18 07:00:00|28.6
1980-09-19 07:00:00|26.7
1980-09-20 07:00:00|27.9
1980-09-21 07:00:00|28.3
1980-09-22 07:00:00|25.7
1980-09-23 07:00:00|27.3
1980-09-24 07:00:00|28.9
1980-09-25 07:00:00|28.8
1980-09-26 07:00:00|26.5
1980-09-27 07:00:00|28.6
1980-09-28 07:00:00|28.7
1980-09-29 07:00:00|27.9
1980-09-30 07:00:00|28.0
1980-10-01 07:00:00|26.7
1980-10-02 07:00:00|27.7
1980-10-03 07:00:00|28.0
1980-10-04 07:00:00|27.2
1980-10-05 07:00:00|26.4
1980-10-06 07:00:00|27.4
1980-10-07 07:00:00|26.2
1980-10-08 07:00:00|26.1
1980-10-09 07:00:00|27.4
1980-10-10 07:00:00|26.4
1980-10-11 07:00:00|27.6
1980-10-12 07:00:00|28.8
1980-10-13 07:00:00|29.1
1980-10-14 07:00:00|29.2
1980-10-15 07:00:00|29.6
1980-10-16 07:00:00|29.1
1980-10-17 07:00:00|28.2
1980-10-18 07:00:00|27.1
1980-10-19 07:00:00|28.6
1980-10-20 07:00:00|28.6
1980-10-21 07:00:00|26.1
1980-10-22 07:00:00|27.9
1980-10-23 07:00:00|28.8
1980-10-24 07:00:00|28.8
1980-10-25 07:00:00|28.8
1980-10-26 07:00:00|29.0
